epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4515,1.04348,3.39431,0.92941,0.00625,0.87764,0.25966,0.1871,0.9552,3.66747,0.8625,0.000408497,0.000408497,0.000408497
2,110.551,0.986,1.90227,0.91739,0.83335,0.39403,0.81396,0.5804,0.9528,2.78002,0.88846,0.000816994,0.000816994,0.000816994
3,167.575,0.9768,1.40249,0.92647,0.88845,0.85399,0.91283,0.66634,0.95435,1.63847,0.89985,0.00121724,0.00121724,0.00121724
4,224.163,0.97132,1.32444,0.93228,0.95241,0.93348,0.98377,0.70857,0.99105,1.32106,0.91255,0.00121287,0.00121287,0.00121287
5,280.794,0.99509,1.19948,0.93015,0.9282,0.91714,0.96879,0.7107,0.95414,1.27048,0.89799,0.0012005,0.0012005,0.0012005
6,337.433,0.94707,1.13364,0.94109,0.96658,0.9359,0.96486,0.72858,0.92239,1.15993,0.88887,0.00118812,0.00118812,0.00118812
7,393.248,0.93597,1.06479,0.92295,0.97285,0.96315,0.98791,0.75582,0.8888,1.04619,0.88236,0.00117575,0.00117575,0.00117575
8,449.359,0.89863,1.00601,0.91376,0.97323,0.97964,0.99294,0.77259,0.88496,0.97953,0.87383,0.00116337,0.00116337,0.00116337
9,504.627,0.887,0.89676,0.89991,0.96379,0.96347,0.97888,0.74059,0.93001,0.94298,0.88903,0.001151,0.001151,0.001151
10,559.928,0.89118,0.85877,0.90678,0.96342,0.98976,0.99312,0.74633,0.92127,0.86598,0.88429,0.00113863,0.00113863,0.00113863
11,614.671,0.87261,0.8269,0.90694,0.95874,0.99046,0.99281,0.75301,0.90837,0.82333,0.87516,0.00112625,0.00112625,0.00112625
12,669.453,0.88922,0.82094,0.90896,0.98528,0.97815,0.9887,0.75237,0.89858,0.82632,0.88329,0.00111388,0.00111388,0.00111388
13,724.261,0.86865,0.80507,0.91122,0.95475,0.98773,0.99213,0.76234,0.89392,0.81949,0.87921,0.0011015,0.0011015,0.0011015
14,786.811,0.85914,0.78053,0.89645,0.99707,0.96578,0.99248,0.76555,0.90399,0.75495,0.88167,0.00108913,0.00108913,0.00108913
15,848.224,0.86364,0.76065,0.90621,0.98575,0.98503,0.99227,0.76623,0.8863,0.71688,0.87319,0.00107675,0.00107675,0.00107675
16,909.54,0.85557,0.7521,0.88719,0.9838,0.96269,0.99043,0.75818,0.88054,0.70085,0.87304,0.00106437,0.00106437,0.00106437
17,970.747,0.85311,0.70911,0.90871,0.9776,0.98987,0.99342,0.76517,0.87763,0.67384,0.87542,0.001052,0.001052,0.001052
18,1030.4,0.82929,0.70993,0.88837,0.98701,0.97622,0.98993,0.76283,0.87877,0.67094,0.87256,0.00103962,0.00103962,0.00103962
19,1089.89,0.85336,0.66655,0.89849,0.96433,0.9768,0.99216,0.73495,0.96432,0.68577,0.89794,0.00102725,0.00102725,0.00102725
20,1149.34,0.85224,0.65736,0.90377,0.95512,0.98707,0.98536,0.74827,0.91902,0.67657,0.89333,0.00101488,0.00101488,0.00101488
